,traj_id,t,x,y,success,transition_free_to_free,transition_mode_1_to_mode_1,transition_mode_2_to_mode_2,transition_mode_3_to_mode_3,transition_free_to_mode_1,transition_mode_1_to_mode_2,transition_mode_2_to_mode_3,transition_mode_1_to_free,transition_mode_2_to_mode_1,transition_mode_3_to_mode_2,transition_mode_2_to_free,transition_mode_3_to_free
0,0,0,-6.210752688172042,5.264069264069265,True,True,False,False,False,False,False,False,False,False,False,False,False
1,0,1,-6.210752688172042,5.096548866877082,True,True,False,False,False,False,False,False,False,False,False,False,False
2,0,2,-6.236550053789642,4.9350832250554815,True,True,False,False,False,False,False,False,False,False,False,False,False
3,0,3,-6.222925653494768,4.7770967821965336,True,True,False,False,False,False,False,False,False,False,False,False,False
4,0,4,-6.24516129032258,4.682426705597035,True,True,False,False,False,False,False,False,False,False,False,False,False
5,0,5,-6.24516129032258,4.514906308404852,True,True,False,False,False,False,False,False,False,False,False,False,False
6,0,6,-6.2571783925545565,4.348234485356965,True,True,False,False,False,False,False,False,False,False,False,False,False
7,0,7,-6.279569892473118,4.182295238721389,True,True,False,False,False,False,False,False,False,False,False,False,False
8,0,8,-6.279569892473118,4.014774841529206,True,True,False,False,False,False,False,False,False,False,False,False,False
9,0,9,-6.309006971125224,3.854163456392947,True,True,False,False,False,False,False,False,False,False,False,False,False
10,0,10,-6.3060513353132865,3.6896704368860553,True,True,False,False,False,False,False,False,False,False,False,False,False
11,0,11,-6.279569892473118,3.528365351002554,True,True,False,False,False,False,False,False,False,False,False,False,False
12,0,12,-6.273477463545766,3.4303836061398205,True,True,False,False,False,False,False,False,False,False,False,False,False
13,0,13,-6.258407933980322,3.263542385950974,True,True,False,False,False,False,False,False,False,False,False,False,False
14,0,14,-6.24516129032258,3.1371472246622067,True,True,False,False,False,False,False,False,False,False,False,False,False
15,0,15,-6.239900341899043,3.021143495487613,True,True,False,False,False,False,False,False,False,False,False,False,False
16,0,16,-6.210752688172042,2.892426726490057,True,True,False,False,False,False,False,False,False,False,False,False,False
17,0,17,-6.210752688172042,2.75823469449958,True,True,False,False,False,False,False,False,False,False,False,False,False
18,0,18,-6.146145759745696,2.60587782805952,True,True,False,False,False,False,False,False,False,False,False,False,False
19,0,19,-6.17194913550201,2.4456039913967653,True,True,False,False,False,False,False,False,False,False,False,False,False
20,0,20,-6.141935483870967,2.2829243144804092,True,True,False,False,False,False,False,False,False,False,False,False,False
21,0,21,-6.0871286371436755,2.126966096561843,True,True,False,False,False,False,False,False,False,False,False,False,False
22,0,22,-6.019459286585868,1.9737213822304458,True,True,False,False,False,False,False,False,False,False,False,False,False
23,0,23,-5.967954683925944,1.8145833747749849,True,True,False,False,False,False,False,False,False,False,False,False,False
24,0,24,-5.921116303863087,1.653744170510247,True,True,False,False,False,False,False,False,False,False,False,False,False
